# SignalP-6.0	Organism: Eukarya	Timestamp: 20250212101241
# ID	Prediction	OTHER	SP(Sec/SPI)	CS Position
Smp_123090	SP	0.000151	0.999865	CS pos: 21-22. Pr: 0.9851
Smp_078490	SP	0.000166	0.999842	CS pos: 24-25. Pr: 0.9825
Smp_001890	SP	0.000187	0.999834	CS pos: 26-27. Pr: 0.9716
Smp_012350	OTHER	1.000000	0.000000	
Smp_131370	SP	0.166835	0.833142	CS pos: 24-25. Pr: 0.8120
Smp_070250	SP	0.000169	0.999855	CS pos: 25-26. Pr: 0.9839
Smp_123550	SP	0.000189	0.999810	CS pos: 23-24. Pr: 0.9848
Smp_124060	OTHER	0.999999	0.000000	
Smp_002060	SP	0.000224	0.999741	CS pos: 18-19. Pr: 0.9828
Smp_139450	SP	0.000180	0.999842	CS pos: 24-25. Pr: 0.9842
Smp_124050	OTHER	0.999987	0.000000	
Smp_012350_2	OTHER	1.000000	0.000000	
Smp_120670	OTHER	0.999994	0.000000	
Smp_123540	SP	0.000247	0.999762	CS pos: 21-22. Pr: 0.9817
Smp_002630	SP	0.000269	0.999734	CS pos: 16-17. Pr: 0.9844
Smp_124050_2	OTHER	0.999987	0.000000	
Smp_141550	SP	0.011135	0.988855	CS pos: 29-30. Pr: 0.9741
Smp_124070	OTHER	1.000000	0.000000	
Smp_124050_3	OTHER	0.999987	0.000000	
Smp_141560	SP	0.066185	0.933827	CS pos: 29-30. Pr: 0.9213
Smp_002070	SP	0.000229	0.999775	CS pos: 21-22. Pr: 0.9835
Smp_127130	OTHER	0.666851	0.333145	
Smp_154260	SP	0.000170	0.999847	CS pos: 24-25. Pr: 0.9815
Smp_159290	SP	0.000173	0.999831	CS pos: 24-25. Pr: 0.9842
Smp_176160	SP	0.000167	0.999834	CS pos: 24-25. Pr: 0.9828
Smp_300070	SP	0.000307	0.999713	CS pos: 23-24. Pr: 0.9666
Smp_154290	SP	0.000166	0.999848	CS pos: 24-25. Pr: 0.9822
Smp_316760	OTHER	0.999999	0.000000	
Smp_313710	OTHER	0.999988	0.000000	
Smp_331830	OTHER	1.000000	0.000000	
Smp_193680	SP	0.000206	0.999807	CS pos: 24-25. Pr: 0.9807
Smp_176180	SP	0.000182	0.999824	CS pos: 24-25. Pr: 0.9832
Smp_336880	SP	0.000166	0.999855	CS pos: 25-26. Pr: 0.9832
Smp_317520	SP	0.000276	0.999725	CS pos: 17-18. Pr: 0.9826
Smp_160250	SP	0.000201	0.999791	CS pos: 17-18. Pr: 0.9826
Smp_200460	OTHER	1.000000	0.000000	
Smp_300080	SP	0.000307	0.999708	CS pos: 23-24. Pr: 0.9666
Smp_347320	SP	0.000221	0.999779	CS pos: 17-18. Pr: 0.9825
